GEOCODE,GEONAME,VALUE
4103,Lower East Side & Chinatown,0.25
4104,Chelsea & Hell's Kitchen,0.25
4107,Upper West Side,0.25
4108,Upper East Side & Roosevelt Island,0.25
4109,Morningside Heights & Hamilton Heights,0.25
4110,Harlem,0.25
4111,East Harlem,0.25
4112,Washington Heights & Inwood,0.25
4121,Financial District & Greenwich Village,0.25
4165,"Midtown, East Midtown, & Flatiron",0.25
4204,Highbridge & Concourse,0.25
4205,Morris Heights & Mount Hope,0.25
4207,"Fordham, Bedford Park, & Norwood",0.25
4208,"Riverdale, Kingsbridge, & Marble Hill",0.25
4209,Soundview & Parkchester,0.25
4210,Co-op City & Throgs Neck,0.25
4211,Pelham Parkway & Morris Park,0.25
4212,"Wakefield, Williamsbridge, & Eastchester",0.25
4221,"Melrose, Mott Haven, Longwood, & Hunts Point",1
4263,"Morrisania, Tremont, Belmont, & West Farms",0.25
4301,Williamsburg & Greenpoint,-0.5
4302,Downtown Brooklyn & Fort Greene,0.25
4303,Bedford-Stuyvesant,0.25
4304,Bushwick,0.25
4305,East New York & Cypress Hills,0.25
4306,Park Slope & Carroll Gardens,0.25
4307,Sunset Park & Windsor Terrace,0.25
4308,Crown Heights (North),0.25
4309,Crown Heights (South),0.25
4310,Bay Ridge & Dyker Heights,0.25
4311,Bensonhurst & Bath Beach,0.25
4312,Borough Park & Kensington,0.25
4313,Coney Island & Brighton Beach,0.25
4314,Flatbush & Midwood,0.25
4315,Sheepshead Bay & Gravesend (East),0.25
4316,Ocean Hill & Brownsville,0.25
4317,East Flatbush,0.25
4318,Canarsie & Flatlands,0.25
4401,Astoria & Queensbridge,0.25
4402,"Long Island City, Sunnyside, & Woodside",0.25
4403,Jackson Heights & East Elmhurst,0.25
4404,Elmhurst & Corona,0.25
4405,"Ridgewood, Maspeth, & Middle Village",0.25
4406,Forest Hills & Rego Park,0.25
4407,"Flushing, Murray Hill, & Whitestone",0.25
4408,"Fresh Meadows, Hillcrest, & Briarwood",0.25
4409,"Kew Gardens, Richmond Hill, & Woodhaven",0.25
4410,South Ozone Park & Howard Beach,0.25
4411,"Auburndale, Bayside, & Douglaston",0.25
4412,"Jamaica, St. Albans, & Hollis",0.25
4413,"Queens Village, Bellerose, & Rosedale",0.25
4414,The Rockaways,0.25
4501,North Shore,0.25
4502,Mid-Island,0.25
4503,South Shore,0.25
