PUMA2010,GEONAME
3707,"Morris Heights, Fordham South & Mount Hope"
3803,Central Harlem
4018,Brighton Beach & Coney Island
4010,"East Flatbush, Farragut & Rugby"
4109,Sunnyside & Woodside
3810,"Battery Park City, Greenwich Village & Soho"
3807,"Chelsea, Clinton & Midtown Business District"
4016,"Sheepshead Bay, Gerritsen Beach & Homecrest"
4017,Bensonhurst & Bath Beach
3703,"Co-op City, Pelham Bay & Schuylerville"
4007,Brownsville & Ocean Hill
4105,"Queens Village, Cambria Heights & Rosedale"
4113,Howard Beach & Ozone Park
4004,Brooklyn Heights & Fort Greene
4001,Greenpoint & Williamsburg
4106,"Briarwood, Fresh Meadows & Hillcrest"
3708,"Concourse, Highbridge & Mount Eden"
3704,"Pelham Parkway, Morris Park & Laconia"
4111,Richmond Hill & Woodhaven
4003,Bedford-Stuyvesant
4104,"Bayside, Douglaston & Little Neck"
4102,Jackson Heights & North Corona
4107,Elmhurst & South Corona
4108,Forest Hills & Rego Park
3903,"Port Richmond, Stapleton & Mariner's Harbor"
4013,Bay Ridge & Dyker Heights
4002,Bushwick
4110,"Ridgewood, Glendale & Middle Village"
4012,Sunset Park & Windsor Terrace
4005,"Park Slope, Carroll Gardens & Red Hook"
4101,Astoria & Long Island City
4015,Flatbush & Midwood
4011,"Crown Heights South, Prospect Lefferts & Wingate"
3806,Upper West Side & West Side
3802,"Hamilton Heights, Manhattanville & West Harlem"
3801,"Washington Heights, Inwood & Marble Hill"
4009,Canarsie & Flatlands
4103,"Flushing, Murray Hill & Whitestone"
3701,"Riverdale, Fieldston & Kingsbridge"
3709,"Castle Hill, Clason Point & Parkchester"
3805,Upper East Side
3804,East Harlem
4112,"Jamaica, Hollis & St. Albans"
4006,Crown Heights North & Prospect Heights
3808,"Murray Hill, Gramercy & Stuyvesant Town"
3710,"Hunts Point, Longwood & Melrose"
4008,East New York & Starrett City
4014,"Borough Park, Kensington & Ocean Parkway"
4114,"Far Rockaway, Breezy Point & Broad Channel"
3901,"Tottenville, Great Kills & Annadale"
3902,New Springville & South Beach
3706,"Bedford Park, Fordham North & Norwood"
3809,Chinatown & Lower East Side
3702,"Wakefield, Williamsbridge & Woodlawn"
3705,"Belmont, Crotona Park East & East Tremont"
