report_id,title,indicator_id,data_field_name,indicator_name,measure_name,display_type,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,101,101,UHF42,Kingsbridge - Riverdale,5.1,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,102,102,UHF42,Northeast Bronx,5.9,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,103,103,UHF42,Fordham - Bronx Pk,4.8,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,104,104,UHF42,Pelham - Throgs Neck,6.1,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,105,105,UHF42,Crotona -Tremont,8.8,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,106,106,UHF42,High Bridge - Morrisania,8.8,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,107,107,UHF42,Hunts Point - Mott Haven,8.8,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,201,201,UHF42,Greenpoint,3.1,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,202,202,UHF42,Downtown - Heights - Slope,6.5,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,203,203,UHF42,Bedford Stuyvesant - Crown Heights,5.9,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,204,204,UHF42,East New York,5.7,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,205,205,UHF42,Sunset Park,5.9,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,206,206,UHF42,Borough Park,3.9,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,207,207,UHF42,East Flatbush - Flatbush,2,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,208,208,UHF42,Canarsie - Flatlands,3.8,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,209,209,UHF42,Bensonhurst - Bay Ridge,2,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,210,210,UHF42,Coney Island - Sheepshead Bay,2.7,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,211,211,UHF42,Williamsburg - Bushwick,9.5,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,301,301,UHF42,Washington Heights,3.4,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,302,302,UHF42,Central Harlem - Morningside Heights,8.9,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,303,303,UHF42,East Harlem,7.9,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,304,304,UHF42,Upper West Side,3.8,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,305,305,UHF42,Upper East Side,4.5,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,306,306,UHF42,Chelsea - Clinton,5,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,307,307,UHF42,Gramercy Park - Murray Hill,4.5,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,308,308,UHF42,Greenwich Village - SoHo,5,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,309,309,UHF42,Union Square - Lower East Side,4.5,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,310,310,UHF42,Lower Manhattan,4.5,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,401,401,UHF42,Long Island City - Astoria,3.4,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,402,402,UHF42,West Queens,5.2,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,403,403,UHF42,Flushing - Clearview,2.4,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,404,404,UHF42,Bayside - Little Neck,3.9,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,405,405,UHF42,Ridgewood - Forest Hills,3.2,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,406,406,UHF42,Fresh Meadows,3.9,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,407,407,UHF42,Southwest Queens,3.2,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,408,408,UHF42,Jamaica,4.8,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,409,409,UHF42,Southeast Queens,2.2,Estimate is based on small numbers so should be interpreted with caution.
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,410,410,UHF42,Rockaways,5.8,
78,Asthma and the Environment,31,Adul31,Adults with asthma (past 12 months),Age-adjusted percent,,2003-01-01,2003-12-31,year,2003,501,501,UHF42,Port Richmond,6.6,
