report_id,title,MeasureID,IndicatorID,indicator_data_name,indicator_name,measurement_type,units,year_id,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value_geo_entity,unmodified_data_value_geo_entity,nbr_data_note,summary_bar_svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,198,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,11.0,11,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,199,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,101,101,UHF42,Kingsbridge - Riverdale,10.1,10.1,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,200,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,101,101,UHF42,Kingsbridge - Riverdale,10.7,10.7,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,201,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,101,101,UHF42,Kingsbridge - Riverdale,9.3,9.3,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,202,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,8.9,8.9,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,219,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,9.0,9,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,232,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,9.2,9.2,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,241,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,7.5,7.5,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,252,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,7.4,7.4,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,259,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,7.0,7,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,279,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,101,101,UHF42,Kingsbridge - Riverdale,6.7,6.7,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,283,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,101,101,UHF42,Kingsbridge - Riverdale,5.9,5.9,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,295,2021-01-01,2021-12-31,Annual Average,Annual Average 2021,101,101,UHF42,Kingsbridge - Riverdale,6.6,6.6,,Fine365-101.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,198,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,102,102,UHF42,Northeast Bronx,10.7,10.7,,Fine365-102.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,199,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,102,102,UHF42,Northeast Bronx,9.7,9.7,,Fine365-102.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,200,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,102,102,UHF42,Northeast Bronx,10.5,10.5,,Fine365-102.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,201,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,102,102,UHF42,Northeast Bronx,9.1,9.1,,Fine365-102.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,202,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,102,102,UHF42,Northeast Bronx,8.7,8.7,,Fine365-102.svg
77,Outdoor Air and Health,365,2023,Fine365,Fine particles (PM 2.5),Mean,mcg/m3,219,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,102,102,UHF42,Northeast Bronx,9.0,9,,Fine365-102.svg
