report_id,title,MeasureID,IndicatorID,indicator_data_name,indicator_name,measurement_type,units,year_id,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value_geo_entity,unmodified_data_value_geo_entity,nbr_data_note,summary_bar_svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,288,2007-01-01,2011-12-31,year,2007-11,101,101,UHF42,Kingsbridge - Riverdale,6.1,6.1,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,242,2008-01-01,2012-12-31,other,2008-12,101,101,UHF42,Kingsbridge - Riverdale,6.2,6.2,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,203,2009-01-01,2013-12-31,year,2009-13,101,101,UHF42,Kingsbridge - Riverdale,5.9,5.9,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,235,2010-01-01,2014-12-31,other,2010-14,101,101,UHF42,Kingsbridge - Riverdale,6.2,6.2,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,236,2011-01-01,2015-12-31,other,2011-15,101,101,UHF42,Kingsbridge - Riverdale,6.7,6.7,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,247,2012-01-01,2016-12-31,other,2012-16,101,101,UHF42,Kingsbridge - Riverdale,6.8,6.8,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,255,2013-01-01,2017-12-31,year,2013-17,101,101,UHF42,Kingsbridge - Riverdale,6.8,6.8,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,257,2014-01-01,2018-12-31,year,2014-18,101,101,UHF42,Kingsbridge - Riverdale,7.0,7,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,287,2015-01-01,2019-12-31,year,2015-19,101,101,UHF42,Kingsbridge - Riverdale,6.9,6.9,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,299,2016-01-01,2020-12-31,year,2016-20,101,101,UHF42,Kingsbridge - Riverdale,7.0,7,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,300,2017-01-01,2021-12-31,year,2017-21,101,101,UHF42,Kingsbridge - Riverdale,8.1,8.1,,Crow25-101.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,288,2007-01-01,2011-12-31,year,2007-11,102,102,UHF42,Northeast Bronx,6.5,6.5,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,242,2008-01-01,2012-12-31,other,2008-12,102,102,UHF42,Northeast Bronx,6.2,6.2,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,203,2009-01-01,2013-12-31,year,2009-13,102,102,UHF42,Northeast Bronx,6.5,6.5,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,235,2010-01-01,2014-12-31,other,2010-14,102,102,UHF42,Northeast Bronx,6.3,6.3,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,236,2011-01-01,2015-12-31,other,2011-15,102,102,UHF42,Northeast Bronx,7.3,7.3,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,247,2012-01-01,2016-12-31,other,2012-16,102,102,UHF42,Northeast Bronx,7.7,7.7,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,255,2013-01-01,2017-12-31,year,2013-17,102,102,UHF42,Northeast Bronx,7.8,7.8,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,257,2014-01-01,2018-12-31,year,2014-18,102,102,UHF42,Northeast Bronx,8.4,8.4,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,287,2015-01-01,2019-12-31,year,2015-19,102,102,UHF42,Northeast Bronx,7.8,7.8,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,299,2016-01-01,2020-12-31,year,2016-20,102,102,UHF42,Northeast Bronx,7.1,7.1,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,300,2017-01-01,2021-12-31,year,2017-21,102,102,UHF42,Northeast Bronx,7.3,7.3,,Crow25-102.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,288,2007-01-01,2011-12-31,year,2007-11,103,103,UHF42,Fordham - Bronx Pk,13.7,13.7,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,242,2008-01-01,2012-12-31,other,2008-12,103,103,UHF42,Fordham - Bronx Pk,13.7,13.7,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,203,2009-01-01,2013-12-31,year,2009-13,103,103,UHF42,Fordham - Bronx Pk,14.8,14.8,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,235,2010-01-01,2014-12-31,other,2010-14,103,103,UHF42,Fordham - Bronx Pk,15.2,15.2,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,236,2011-01-01,2015-12-31,other,2011-15,103,103,UHF42,Fordham - Bronx Pk,15.7,15.7,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,247,2012-01-01,2016-12-31,other,2012-16,103,103,UHF42,Fordham - Bronx Pk,16.2,16.2,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,255,2013-01-01,2017-12-31,year,2013-17,103,103,UHF42,Fordham - Bronx Pk,16.8,16.8,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,257,2014-01-01,2018-12-31,year,2014-18,103,103,UHF42,Fordham - Bronx Pk,16.9,16.9,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,287,2015-01-01,2019-12-31,year,2015-19,103,103,UHF42,Fordham - Bronx Pk,17.1,17.1,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,299,2016-01-01,2020-12-31,year,2016-20,103,103,UHF42,Fordham - Bronx Pk,17.1,17.1,,Crow25-103.svg
73,Housing and Health,25,15,Crow25,Household crowding,Percent,,300,2017-01-01,2021-12-31,year,2017-21,103,103,UHF42,Fordham - Bronx Pk,16.9,16.9,,Crow25-103.svg
